TARGET	DOMAIN	STATUS	SCORE	MATCHED_SEED	MATCHED_REDIRECT_HOST	IP	SCHEME	HTTP_STATUS	REDIRECT_HOST	TITLE_SIMILARITY	CONTENT_SIMILARITY	SSL_ISSUER	SERVER_BANNER	NOTE
Cloudflare	clojdflare.com	MEDIUM_MATCH	3	cloudflare.com	www.cloudflare.com	91.227.114.40	https	200	clojdflare.com	1.00	0.54	Unknown	nginx, nginx	
Cloudflare	cloucflare.com	MEDIUM_MATCH	3	cloudflare.com	www.cloudflare.com	91.227.114.40	https	200	cloucflare.com	1.00	0.54	Unknown	nginx, nginx	
Cloudflare	cloudfkare.com	MEDIUM_MATCH	3	cloudflare.com	www.cloudflare.com	91.227.114.40	https	200	cloudfkare.com	1.00	0.54	Unknown	nginx, nginx	
Cloudflare	cloudflafe.com	MEDIUM_MATCH	3	cloudflare.com	www.cloudflare.com	91.227.114.40	https	200	cloudflafe.com	1.00	0.54	Unknown	nginx, nginx	
Cloudflare	cooudflare.com	MEDIUM_MATCH	3	cloudflare.com	www.cloudflare.com	91.227.114.40	https	200	cooudflare.com	1.00	0.54	Unknown	nginx, nginx	
Cloudflare	cpoudflare.com	MEDIUM_MATCH	3	cloudflare.com	www.cloudflare.com	91.227.114.40	https	200	cpoudflare.com	1.00	0.54	Unknown	nginx, nginx	
Cloudflare	lcoudflare.com	MEDIUM_MATCH	3	cloudflare.com	www.cloudflare.com	91.227.114.40	https	200	lcoudflare.com	1.00	0.54	Unknown	nginx, nginx	
Cloudflare	vloudflare.com	MEDIUM_MATCH	3	cloudflare.com	www.cloudflare.com	91.227.114.40	https	200	vloudflare.com	1.00	0.54	Unknown	nginx, nginx	
Cloudflare	xloudflare.com	MEDIUM_MATCH	3	cloudflare.com	www.cloudflare.com	91.227.114.40	https	200	xloudflare.com	1.00	0.54	Unknown	nginx, nginx	
Google	xn--gogl-jpa1d.com	MEDIUM_MATCH	3	google.com	www.google.com	98.84.224.111,18.208.88.157	https	200	xn--gogl-jpa1d.com	1.00	0.11	Unknown	Netlify	
Google	xn--gool-dxa1756b.com	MEDIUM_MATCH	3	google.com	www.google.com	216.198.79.1	https	200	xn--gool-dxa1756b.com	1.00	0.07	Unknown	Vercel	
Google	xn--gogle-1ta.com	MEDIUM_MATCH	3	google.com	www.google.com	192.241.130.219	https	200	xn--gogle-1ta.com	1.00	0.06	Unknown	Apache/2.4.18 (Ubuntu)	
Google	xn--ooge-21a88g.com	MEDIUM_MATCH	3	google.com	www.google.com	192.241.130.219	https	200	xn--ooge-21a88g.com	1.00	0.06	Unknown	Apache/2.4.18 (Ubuntu)	
Google	xn--googl-9cc.com	MEDIUM_MATCH	3	google.com	www.google.com	3.33.193.101,15.197.246.237,52.223.46.195,99.83.183.127	https	200	xn--googl-9cc.com	1.00	0.05	Unknown	Heroku	
Google	xn--gogle-g91b.com	MEDIUM_MATCH	3	google.com	www.google.com	76.223.105.230,13.248.243.5	https	200	xn--gogle-g91b.com	1.00	0.04	Unknown	DPS/2.0.0-beta+sha-80f97d4	
Google	xn--googl-lsa.com	MEDIUM_MATCH	3	google.com	www.google.com	38.92.48.160	https	200	xn--googl-lsa.com	1.00	0.04	Unknown	Apache	
Dropbox	dr.opbox.com	MEDIUM_MATCH	3	dropbox.com	www.dropbox.com	104.247.81.99	https	200	dr.opbox.com	0.90	0.03	Unknown	Hidden	server banner unavailable
Google	xn--goog-8va9v.com	MEDIUM_MATCH	3	google.com	www.google.com	72.62.212.217,2a02:4780:f:3ca5::1	https	200	xn--goog-8va9v.com	1.00	0.03	Unknown	nginx/1.31.0	
Google	xn--ooge-9wa5r.com	MEDIUM_MATCH	3	google.com	www.google.com	72.62.212.217,2a02:4780:f:3ca5::1	https	200	xn--ooge-9wa5r.com	1.00	0.03	Unknown	nginx/1.31.0	
Microsoft	outrlook.com	LOW_MATCH	2	outlook.com	outlook.live.com	104.247.81.99	https	200	outrlook.com	0.63	0.63	Unknown	Hidden	server banner unavailable
Zendesk	zendcsk.com	LOW_MATCH	2	zendesk.com	www.zendesk.com	212.104.128.1,212.104.128.0,212.104.128.3,212.104.128.2	https	404	zendcsk.com	0.00	0.29	Unknown	cloudflare	page title unavailable
Apple	ikloud.com	LOW_MATCH	2	icloud.com	www.icloud.com	107.170.54.9	https	200	ikloud.com	0.83	0.12	Unknown	nginx	
Coinbase	cuinbase.com	LOW_MATCH	2	coinbase.com	www.coinbase.com	54.243.117.197,13.223.25.84,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb,2600:1f18:4ae:c606:78d4:4260:db4e:aeee	https	200	www.hugedomains.com	0.32	0.09	Unknown	cloudflare	redirects to www.hugedomains.com
Zendesk	zundesk.com	LOW_MATCH	2	zendesk.com	www.zendesk.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c606:78d4:4260:db4e:aeee,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb	https	200	www.hugedomains.com	0.19	0.06	Unknown	cloudflare	redirects to www.hugedomains.com
Apple	xn--cioud-m4a.com	LOW_MATCH	2	apple.com	www.apple.com	172.67.155.123,104.21.7.130,2606:4700:3030::6815:782,2606:4700:3037::ac43:9b7b	https	200	support.apple.com	0.37	0.04	Unknown	Apple	redirects to support.apple.com
Cloudflare	xn--clodflare-26b.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	104.21.13.87,172.67.199.28,2606:4700:3031::ac43:c71c,2606:4700:3037::6815:d57	https	403	xn--clodflare-26b.com	0.30	0.03	Unknown	cloudflare	
Dropbox	dorpbox.com	LOW_MATCH	2	dropbox.com	www.dropbox.com	104.247.81.99	https	200	dorpbox.com	0.82	0.03	Unknown	Hidden	server banner unavailable
Dropbox	droxbox.com	LOW_MATCH	2	dropbox.com	www.dropbox.com	185.53.179.146	https	200	droxbox.com	0.82	0.03	Unknown	Hidden	server banner unavailable
Dropbox	drppbox.com	LOW_MATCH	2	dropbox.com	www.dropbox.com	104.247.81.99	https	200	drppbox.com	0.82	0.03	Unknown	Hidden	server banner unavailable
Google	googlle.com	LOW_MATCH	2	google.com	www.google.com	104.21.83.75,172.67.217.138,2606:4700:3036::ac43:d98a,2606:4700:3030::6815:534b	https	200	goggler.com	0.77	0.03	Unknown	cloudflare	redirects to goggler.com
Okta	oka.com	LOW_MATCH	2	okta.com	www.okta.com	23.227.38.65	https	200	www.oka.com	0.29	0.03	Unknown	cloudflare	redirects to www.oka.com
Zendesk	tendesk.com	LOW_MATCH	2	zendesk.com	www.zendesk.com	104.21.77.181,172.67.210.238,2606:4700:3032::6815:4db5,2606:4700:3035::ac43:d2ee	https	403	www.tendesk.com	0.32	0.03	Unknown	cloudflare	redirects to www.tendesk.com
